year,month,flagWkday1Sat0,flagAmPmMd,count,loc,boroughBridgeName,flagBroroughBridge,onStreet,from,to,END
2007,05,0,m,3886,12,Brooklyn,bo,86th Street,4th Avenue,5th Avenue,1
2007,05,0,m,836,13,Brooklyn,bo,Atlantic Avenue,Boerum Place,Smith Street,1
2007,05,0,m,3432,14,Brooklyn,bo,Bedford Avenue,North 7th Street,North 6th Street,1
2007,05,0,m,5178,15,Brooklyn,bo,Brighton Beach Avenue,Brighton 4th Street,Brighton 5th Street,1
2007,05,0,m,1703,16,Brooklyn,bo,Church Avenue,Nostrand Avenue,East 31st Street,1
2007,05,0,m,1233,17,Brooklyn,bo,Cortelyou Road,Argyle Road,Rugby Road,1
2007,05,0,m,3013,18,Brooklyn,bo,Court Street,Atlantic Avenue,Pacific Street,1
2007,05,0,m,2534,19,Brooklyn,bo,Eastern Parkway,Plaza Street East,Underhill Avenue,1
2007,05,0,m,1355,20,Brooklyn,bo,Flatbush Avenue,Avenue U,Avenue V,1
2007,05,0,m,5106,21,Brooklyn,bo,Flatbush Avenue,Martense Street,Church Avenue,1
2007,05,0,m,1478,22,Brooklyn,bo,Flatbush Avenue,St. Marks Avenue,Prospect Place,1
2007,05,0,m,7411,23,Brooklyn,bo,Fulton Street,Lawrence Street,Bridge Street,1
2007,05,0,m,2863,24,Brooklyn,bo,Graham Avenue,Moore Street,Varet Street,1
2007,05,0,m,1305,25,Brooklyn,bo,Grand Street,Manhattan Avenue,Graham Avenue,1
2007,05,0,m,3066,26,Brooklyn,bo,Jay Street,Willoughby Street,Metrotech Walk,1
2007,05,0,m,2866,27,Brooklyn,bo,Kings Highway,East 13th Street,East 14th Street,1
2007,05,0,m,2914,28,Brooklyn,bo,Montague Street,Henry Street,Clinton Street,1
2007,05,0,m,875,30,Brooklyn,bo,Old Fulton Street,Elizabeth Place,Everit Place,1
2007,05,0,m,2720,31,Brooklyn,bo,Pitkin Avenue,Bristol Street,Hopkinson Avenue,1
2007,05,0,m,1785,32,Brooklyn,bo,Sheepshead Bay Road,East 14th Street ,East 15th Street,1
2007,05,0,m,170,33,Brooklyn,bo,VanBrunt Street,Beard Street,VanDike Street,1
2007,05,0,m,851,34,Brooklyn,bo,Washington Street ,Front Street,Water Street,1
2007,05,0,m,599,35,Manhattan,bo,Broad Street,Beaver Street,South William Street,1
2007,05,0,m,2361,36,Manhattan,bo,Broadway,Morris Street,Exchange Place,1
2007,05,0,m,4592,37,Manhattan,bo,Broadway,West 63rd Street,West 64th Street,1
2007,05,0,m,2061,38,Manhattan,bo,Chambers Street ,West Broadway,Greenwich Street,1
2007,05,0,m,3500,39,Manhattan,bo,Columbus Avenue,West 75th Street,West 76th Street,1
2007,05,0,m,2529,40,Manhattan,bo,Delancey Street,Orchard Street,Ludlow Street,1
2007,05,0,m,4761,41,Manhattan,bo,East 14th Street,Fifth Avenue,University Place,1
2007,05,0,m,6239,42,Manhattan,bo,East 42nd Street,Park Avenue,Lexington Avenue,1
2007,05,0,m,2254,43,Manhattan,bo,East 8th Street,University Place,Greene Street,1
